City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Log,RU,49.4844,43.8613,28.04,93,73,16.96,broken clouds
281,Yumen,CN,40.2833,97.2,48.33,42,51,15.68,broken clouds
282,Mercedes,AR,-34.6515,-59.4307,64.99,93,0,5.44,clear sky
283,Mata Grande,BR,-9.1175,-37.7322,70.79,82,0,1.54,clear sky
284,Tateyama,JP,34.9833,139.8667,48.2,87,75,5.75,light rain
285,Marsala,IT,37.7966,12.4352,57.0,87,40,4.61,scattered clouds
286,Neiafu,TO,-18.65,-173.9833,86.0,74,40,11.5,scattered clouds
287,Shingu,JP,33.7333,135.9833,51.8,93,75,9.22,broken clouds
288,Nova Friburgo,BR,-22.2819,-42.5311,65.03,98,100,2.13,overcast clouds
289,Klaksvik,FO,62.2266,-6.589,41.0,100,75,4.61,broken clouds
290,Saint-Pierre,RE,-21.3393,55.4781,84.2,70,13,5.75,few clouds
291,Korla,CN,41.7597,86.1469,51.48,44,78,3.53,broken clouds
292,Helong,CN,42.5397,128.9972,45.7,45,6,3.36,clear sky
293,Cabinda,AO,-5.55,12.2,78.64,89,100,2.93,light rain
294,Bull Savanna,JM,17.8868,-77.5902,72.16,82,12,5.35,few clouds
295,Fargo,US,46.8772,-96.7898,39.2,80,1,8.05,clear sky
296,Tezu,IN,27.9167,96.1667,86.86,18,15,4.54,few clouds
297,Gornopravdinsk,RU,60.05,69.9,7.92,95,98,7.14,overcast clouds
298,Mufumbwe,ZM,-13.6833,24.8,63.23,97,97,5.26,overcast clouds
299,Igrim,RU,63.1906,64.4162,-6.41,91,89,4.0,overcast clouds
300,Qurayyat,SA,31.3318,37.3428,44.6,76,0,6.91,clear sky
301,Ketchikan,US,55.3422,-131.6461,37.4,93,20,3.11,few clouds
302,Kaka,TM,37.3482,59.6143,47.53,67,87,8.84,overcast clouds
303,Kudahuvadhoo,MV,2.6708,72.8944,82.99,70,27,8.21,scattered clouds
304,Erzin,TR,36.9559,36.2,54.0,77,56,0.74,broken clouds
305,Cockburn Town,TC,21.4612,-71.1419,78.22,76,0,7.45,clear sky
306,Pascagoula,US,30.3658,-88.5561,50.0,93,1,7.67,clear sky
307,Kondinskoye,RU,59.6481,67.41,2.34,94,87,6.51,overcast clouds
308,Lubbock,US,33.6001,-101.8338,51.8,54,40,13.8,scattered clouds
309,Port Shepstone,ZA,-30.7414,30.455,73.33,78,88,2.93,overcast clouds
310,Nioro,GM,13.35,-15.75,74.41,20,0,8.32,clear sky
311,Severo-Yeniseyskiy,RU,60.3725,93.0408,12.72,94,71,6.96,broken clouds
312,Omboue,GA,-1.5746,9.2618,76.66,88,84,5.12,broken clouds
313,Port Hedland,AU,-20.3167,118.5667,91.4,55,0,14.97,clear sky
314,Nieuwpoort,BE,51.1244,2.7735,32.0,86,20,2.3,few clouds
315,Akdepe,TM,42.0551,59.3788,32.0,74,0,13.8,clear sky
316,Tarakan,ID,3.3,117.6333,78.37,80,100,6.96,overcast clouds
317,Wiarton,CA,44.7407,-81.1332,10.0,85,1,6.91,clear sky
318,Paamiut,GL,61.994,-49.6678,28.49,96,100,9.19,overcast clouds
319,Beian,NO,63.6559,9.5683,30.2,80,0,8.05,clear sky
320,Upernavik,GL,72.7868,-56.1549,-18.18,80,0,12.95,clear sky
321,Wajima,JP,37.4,136.9,41.0,52,75,5.75,broken clouds
322,Mahebourg,MU,-20.4081,57.7,80.6,83,20,6.91,few clouds
323,Victor Harbor,AU,-35.5667,138.6167,78.01,63,63,1.01,broken clouds
324,Villarrica,PY,-25.75,-56.4333,66.49,57,0,2.93,clear sky
325,Pemangkat,ID,1.1667,108.9667,82.49,73,6,9.64,clear sky
326,Sakakah,SA,29.9697,40.2064,51.8,40,0,6.91,clear sky
327,Mount Gambier,AU,-37.8333,140.7667,66.2,63,90,14.97,overcast clouds
328,Saint George,US,37.1041,-113.5841,63.0,20,1,4.61,clear sky
329,Pemberton,CA,50.3164,-122.8027,37.4,100,65,1.14,broken clouds
330,Rio Bueno,CL,-40.3167,-72.9667,48.2,93,0,2.55,clear sky
331,Ixtapa,MX,20.7,-105.2,73.0,88,20,2.53,few clouds
332,Faya,SA,18.3851,42.4509,53.6,57,0,1.86,clear sky
333,Tiksi,RU,71.6872,128.8694,-13.16,88,100,6.4,overcast clouds
334,San Cristobal,VE,7.7669,-72.225,66.79,83,100,2.08,overcast clouds
335,Labuhan,ID,-6.8844,112.2051,83.64,75,67,13.96,broken clouds
336,Yingcheng,CN,30.95,113.55,46.4,93,40,2.24,light rain
337,Samfya,ZM,-11.3649,29.5565,64.17,96,100,3.51,light rain
338,Husavik,IS,66.0449,-17.3389,24.8,93,0,2.3,clear sky
339,Bilibino,RU,68.0546,166.4372,-21.03,83,100,3.96,light snow
340,Eyl,SO,7.9803,49.8164,77.85,72,19,14.14,few clouds
341,Hambantota,LK,6.1241,81.1185,86.0,84,40,9.22,scattered clouds
342,Jiuquan,CN,39.7432,98.5174,48.36,42,47,6.58,scattered clouds
343,Winnemucca,US,40.973,-117.7357,41.0,42,1,8.05,clear sky
344,Lefka,CY,35.1106,32.8506,62.6,77,75,11.5,broken clouds
345,Taybad,IR,34.74,60.7756,55.94,38,60,9.04,broken clouds
346,Khatanga,RU,71.9667,102.5,-24.72,85,98,1.86,overcast clouds
347,Esqueda,MX,30.7167,-109.5833,60.75,32,30,4.79,scattered clouds
348,Aki,JP,33.5,133.9,60.8,55,40,11.5,scattered clouds
